source,target,relation_context
semantic_utilities,naming_systems,semantic utilities are naming systems applied to CSS
semantic_utilities,semantic_architecture,semantic utilities are semantic architecture at the utility layer
semantic_utilities,frontend_architecture,semantic utilities make frontend architecture self-documenting
naming_systems,semantic_architecture,naming systems are the conceptual layer of semantic architecture
naming_systems,domain_modeling,naming systems enforce domain modeling at the code level
naming_systems,design_systems,naming systems give design systems their conceptual coherence
product_scoping,mvp_thinking,product scoping defines the boundary of the MVP
product_scoping,product_roadmapping,product scoping is the prerequisite to honest roadmapping
product_scoping,tradeoff_analysis,product scoping is tradeoff analysis applied to features
operational_clarity,operational_maturity,operational clarity is the precondition for operational maturity
operational_clarity,founder_operations,operational clarity is what lets a founder operate without chaos
operational_clarity,ownership_culture,operational clarity is what ownership culture requires to function
ai_enabled_business_systems,agentic_systems,AI-enabled business systems are agentic systems with commercial goals
ai_enabled_business_systems,workflow_automation,AI-enabled business systems automate what used to require headcount
ai_enabled_business_systems,founder_operations,AI-enabled business systems let a small founder team operate at larger scale
physics_beyond_public_understanding,gravity_manipulation_theories,gravity manipulation is the most discussed application of suppressed physics
physics_beyond_public_understanding,ufo_uap_discussions,UAP behavior is the primary observable evidence for beyond-public physics
physics_beyond_public_understanding,speculative_cosmology,speculative cosmology reaches for the physics that public discourse hasn't caught up to
ancient_depictions_of_anomalies,symbolic_archaeology,ancient depictions of anomalies are symbolic archaeology's most provocative material
ancient_depictions_of_anomalies,hidden_history_narratives,ancient anomalies are the evidence base for hidden history narratives
ancient_depictions_of_anomalies,ufo_uap_discussions,ancient depictions extend UAP discourse into pre-modern history
rpgs,gaming,RPGs are gaming's most narrative-dense expression
rpgs,jrpg,JRPGs are the Eastern tradition of RPG design
rpgs,atmospheric_narrative,atmospheric narrative games are RPGs that prioritize mood over mechanics
fps_games,gaming,FPS games are gaming's most reflexive and spatial expression
fps_games,fps_arena,FPS games are the genre that fps arena games belong to
analytics_instrumentation,operational_maturity,analytics instrumentation is operational maturity made measurable
analytics_instrumentation,product_thinking,analytics instrumentation closes the product thinking feedback loop
conscious_reintegration,emotional_integration,conscious reintegration is emotional integration brought to completion
conscious_reintegration,acceptance_through_motion,acceptance through motion is the somatic path to conscious reintegration
geometric_harmony,sacred_geometry,geometric harmony is sacred geometry experienced aesthetically
geometric_harmony,algorithmic_ui_theming,geometric harmony applied to UI generates algorithmic themes
pattern_recognition,synchronicity,synchronicity is pattern recognition operating beyond conscious intent
pattern_recognition,observation_as_superpower,observation is pattern recognition made deliberate
pattern_recognition,cognitive_architectures,pattern recognition is a foundational operation in cognitive architectures
pattern_recognition,fringe_epistemology,fringe epistemology is pattern recognition applied to anomalous data
emergent_behavior,complexity_theory,emergent behavior is complexity theory's primary observable output
emergent_behavior,system_thinking,emergent behavior is what system thinking predicts and studies
emergent_behavior,creative_systems,creative systems succeed when their output exhibits emergent behavior
emergent_behavior,agentic_systems,emergent behavior in agentic systems is both the goal and the risk
meshuggah,djent_progressive_metal,defining influence on the genre
periphery,djent_progressive_metal,core djent band
animals_as_leaders,djent_progressive_metal,instrumental djent pioneers
karmanjakah,djent_progressive_metal,progressive metal artist
ions,electronic_future_beats,electronic artist
jeff_loomis,djent_progressive_metal,virtuoso guitarist central to the genre
spiritbox,alt_metal_post_hardcore,Canadian heavy metal act
skyharbor,djent_progressive_metal,Indian-American progressive metal
deftones,alt_metal_post_hardcore,defining alt metal band
deftones,atmospheric_production,the Deftones defined heavy atmospheric production
fear_factory,alt_metal_post_hardcore,industrial metal pioneers
glassjaw,alt_metal_post_hardcore,post-hardcore influence
tennyson,electronic_future_beats,electronic duo
anomalie,electronic_future_beats,electronic producer
athletic_progression,electronic_future_beats,electronic artist
yussef_dayes,jazz_neo_soul,British jazz drummer
wilco,art_rock,American alt rock institution
tv_girl,indie_pop_dream_pop,indie pop band
tomita_lab,japanese_pop_city_pop,Japanese pop artist
thundercat,jazz_neo_soul,bassist and producer
hed_pe,alt_metal_post_hardcore,rap-metal band
tennis,indie_pop_dream_pop,indie pop duo
sun_kil_moon,folk_singer_songwriter,folk rock project of Mark Kozelek
sun_kil_moon,art_rock,art rock dimension of Mark Kozelek's work
sondre_lerche,folk_singer_songwriter,Norwegian singer-songwriter
snail_mail,indie_pop_dream_pop,indie rock artist
shadow_community,orchestral_art_pop,orchestral art pop artist
sean_ono_lennon,art_rock,art rock musician
samara_cyn,jazz_neo_soul,R&B singer
sam_gellaitry,electronic_future_beats,electronic producer
radiohead,art_rock,defining art rock band
post_malone,hip_hop_rnb,rapper and singer
photay,electronic_future_beats,electronic producer
oren_lavie,folk_singer_songwriter,Israeli singer-songwriter
mt_marcy,folk_singer_songwriter,folk singer-songwriter
moonchild,jazz_neo_soul,jazz-influenced R&B trio
mild_high_club,indie_pop_dream_pop,indie pop project
mac_miller,hip_hop_rnb,rapper and producer
the_last_shadow_puppets,art_rock,art rock supergroup
lamp,japanese_pop_city_pop,Japanese indie pop trio
kirinji,japanese_pop_city_pop,Japanese pop band
king_krule,art_rock,art rock musician
kendrick_lamar,hip_hop_rnb,defining rapper of his generation
kazuki_isogai,japanese_pop_city_pop,Japanese musician
kali_uchis,hip_hop_rnb,Colombian-American singer
jeff_tweedy,folk_singer_songwriter,singer-songwriter and Wilco frontman
jeff_tweedy,art_rock,art rock dimension of Wilco
jay_som,indie_pop_dream_pop,indie pop musician
japanese_breakfast,indie_pop_dream_pop,indie pop project
jacob_collier,jazz_neo_soul,multi-instrumentalist and harmonic genius
van_dyke_parks,orchestral_art_pop,orchestral pop songwriter
silverchair,alt_metal_post_hardcore,Australian alternative rock band
silverchair,grunge,grunge dimension of early Silverchair
homeshake,indie_pop_dream_pop,lo-fi pop project
hiatus_kaiyote,jazz_neo_soul,Australian neo-soul band
gustavo_cerati,orchestral_art_pop,Argentine rock musician
giraffage,electronic_future_beats,electronic producer
flyte,indie_pop_dream_pop,British indie pop
ethan_french,folk_singer_songwriter,singer-songwriter
erykah_badu,jazz_neo_soul,neo-soul icon
eloise,indie_pop_dream_pop,British singer-songwriter
dr_dog,art_rock,indie rock band
dent_may,indie_pop_dream_pop,indie pop musician
cornelius,japanese_pop_city_pop,experimental pop musician
cero,japanese_pop_city_pop,Japanese indie pop band
cafune,indie_pop_dream_pop,indie pop duo
bonobo,electronic_future_beats,electronic musician
bobbing,folk_singer_songwriter,indie folk artist
blah_blah_blah,folk_singer_songwriter,indie artist
billie_marten,folk_singer_songwriter,British singer-songwriter
phoebe_bridgers,folk_singer_songwriter,indie folk singer-songwriter
nirvana,grunge,defining grunge band
foo_fighters,grunge,post-grunge rock band
pearl_jam,grunge,defining grunge band
alice_in_chains,grunge,defining grunge band
stone_temple_pilots,grunge,grunge band
big_fish,auteur_cinema,Tim Burton fantasy film
the_legend_of_1900,auteur_cinema,Italian arthouse drama
kill_bill,auteur_cinema,Tarantino martial arts epic
inglourious_basterds,auteur_cinema,Tarantino WWII film
once_upon_a_time_in_hollywood,auteur_cinema,Tarantino Hollywood film
the_phoenician_scheme,auteur_cinema,Wes Anderson film
the_life_aquatic,auteur_cinema,Wes Anderson film
ace_ventura,comedy_chaos,Jim Carrey comedy
road_trip,comedy_chaos,comedy film
eurotrip,comedy_chaos,comedy film
shaun_of_the_dead,comedy_chaos,Edgar Wright comedy
hot_fuzz,comedy_chaos,Edgar Wright comedy
the_worlds_end,comedy_chaos,Edgar Wright comedy
paul,comedy_chaos,sci-fi comedy
american_pie,comedy_chaos,teen comedy
rush_hour,action_thriller,action comedy
jackass,comedy_chaos,stunt comedy
south_park_blu,comedy_chaos,animated comedy film
anchorman,comedy_chaos,Will Ferrell comedy
step_brothers,comedy_chaos,Will Ferrell comedy
talladega_nights,comedy_chaos,Will Ferrell comedy
pineapple_express,comedy_chaos,stoner comedy
the_interview,comedy_chaos,Seth Rogen comedy
this_is_the_end,comedy_chaos,apocalyptic comedy
what_dreams_may_come,existential_sci_fi,afterlife fantasy drama
the_matrix,simulation_reality,defining simulation theory film
altered_carbon,existential_sci_fi,cyberpunk consciousness series
the_mummy,myth_spectacle,adventure fantasy film
avengers_endgame,myth_spectacle,Marvel epic
gattaca,existential_sci_fi,genetic determinism sci-fi
arrival,existential_sci_fi,linguistic consciousness sci-fi
oceans_eleven,action_thriller,heist film
v_for_vendetta,gothic_dark_fantasy,political dystopia film
identity,simulation_reality,psychological thriller about identity
the_ninth_gate,paranormal_horror,occult thriller
unbreakable,myth_spectacle,superhero origin film
the_blair_witch_project,paranormal_horror,found footage horror
vanilla_sky,simulation_reality,surrealist reality film
the_fifth_element,myth_spectacle,sci-fi spectacle film
close_encounters,ufo_contact_cinema,Spielberg's UAP contact film
the_fourth_kind,ufo_contact_cinema,alien abduction horror film
ai_artificial_intelligence,existential_sci_fi,Spielberg AI consciousness film
metropolis,existential_sci_fi,Fritz Lang's foundational sci-fi
dune,existential_sci_fi,epic sci-fi adaptation
dune,myth_spectacle,myth and spectacle dimension of Dune
independence_day,myth_spectacle,alien invasion spectacle
terminator_2,myth_spectacle,sci-fi action spectacle
war_of_the_worlds,myth_spectacle,alien invasion film
the_others,paranormal_horror,gothic horror film
signs,paranormal_horror,alien thriller
the_village,paranormal_horror,period mystery
her,existential_sci_fi,AI love story
constantine,paranormal_horror,supernatural thriller
the_ring,paranormal_horror,supernatural horror
john_wick,action_thriller,action thriller franchise
dracula,gothic_dark_fantasy,gothic vampire film
sleepy_hollow,gothic_dark_fantasy,Tim Burton gothic horror
frankenstein_del_toro,gothic_dark_fantasy,Guillermo del Toro gothic horror
interstellar,existential_sci_fi,space-time consciousness epic
lord_of_the_rings,myth_spectacle,fantasy myth epic
the_conjuring,paranormal_horror,supernatural horror film
zelda_ocarina_of_time,classic_n64_era,Nintendo 64 classic
zelda_majoras_mask,classic_n64_era,darker Nintendo 64 Zelda
mortal_kombat_3,classic_n64_era,fighting game classic
doom,fps_arena,seminal first-person shooter
duke_nukem_3d,fps_arena,classic FPS
super_mario_64,classic_n64_era,3D platformer landmark
age_of_empires_ii,classic_n64_era,RTS classic
banjo_kazooie,classic_n64_era,N64 platformer
mario_kart,classic_n64_era,kart racing classic
diddy_kong_racing,classic_n64_era,N64 kart racing
final_fantasy_vii,jrpg,iconic JRPG
devil_may_cry,open_world_action,action hack-and-slash
halo,fps_arena,defining console FPS
gears_of_war,fps_arena,cover-based shooter
god_of_war_ragnarok,open_world_action,Norse mythology action game
call_of_duty,fps_arena,military FPS franchise
persona_5,jrpg,JRPG about rebellion and identity
overwatch,fps_arena,hero shooter
baldurs_gate_3,atmospheric_narrative,D&D RPG epic
elden_ring,soulslike,open-world soulslike
sekiro,soulslike,precision soulslike
death_stranding,atmospheric_narrative,meditative delivery game
death_stranding,human_consciousness,strand theory is consciousness externalised as infrastructure
death_stranding_2,atmospheric_narrative,sequel to Death Stranding
ghost_of_tsushima,open_world_action,samurai open world
ghost_of_yotei,open_world_action,sequel to Ghost of Tsushima
zelda_botw,open_world_action,open-world Zelda reinvention
zelda_totk,open_world_action,sequel to Breath of the Wild
the_outer_worlds_2,atmospheric_narrative,sci-fi RPG sequel
lost_odyssey,jrpg,emotional JRPG classic
final_fantasy_vii_rebirth,jrpg,FFVII remake continuation
metaphor_refantazio,jrpg,fantasy RPG from the Persona team
arc_raiders,fps_arena,extraction shooter
cyberpunk_2077,open_world_action,open-world cyberpunk RPG
wizard_with_a_gun,indie_cozy,survival crafting game
bloomtown,indie_cozy,retro indie RPG
assassins_creed_iv,open_world_action,naval open-world action
sea_of_stars,indie_cozy,turn-based RPG homage
sea_of_stars,jrpg,JRPG dimension of Sea of Stars
lies_of_p,soulslike,Pinocchio soulslike
the_first_berserker_khazan,soulslike,Korean soulslike
clair_obscur,jrpg,French turn-based RPG
clair_obscur,existential_sci_fi,existential themes at the core of the game
clair_obscur,human_consciousness,the game interrogates memory and conscious continuity
dave_the_diver,indie_cozy,hybrid diving and restaurant game
black_myth_wukong,soulslike,Chinese action RPG soulslike
for_the_king,indie_cozy,roguelike strategy RPG
music,indie_pop_dream_pop,a genre I keep coming back to
music,hip_hop_rnb,a genre I keep coming back to
music,orchestral_art_pop,a genre I keep coming back to
music,folk_singer_songwriter,a genre I keep coming back to
music,djent_progressive_metal,a genre I keep coming back to
music,jazz_neo_soul,a genre I keep coming back to
music,music_as_identity,what music means to me
music,songwriting,the craft I care about
music_composition,songwriting,the craft behind it
piano_voicings,jazz_neo_soul,harmony I gravitate to
fingerpicked_nylon_guitar,folk_singer_songwriter,the sound I play
heavy_but_melodic,djent_progressive_metal,the balance I chase
comedy_chaos,cinematic_experiences,films as comfort
action_thriller,cinematic_experiences,popcorn watches
classic_n64_era,gaming,where it started
system_design,frontend_architecture,the structural layer
viewmodel_architecture,frontend_architecture,a UI architecture pattern
xaml_systems,design_systems,UI framework work
noesis_ui,design_systems,a UI framework
posthog,product_thinking,product analytics
git_workflows,frontend_architecture,daily build workflow
gitflow,git_workflows,a branching model
vs_code_workflows,frontend_architecture,my editor setup
terminal_workflows,frontend_architecture,shell-driven dev
llm_systems,agentic_systems,the models behind agents
ai_assisted_engineering,agentic_systems,AI in my workflow
consciousness_and_technology,human_consciousness,tech meets mind
radical_honesty,emotional_integration,how I relate
movies_that_take_you_far_away,cinematic_experiences,escapist films
jrpgs,gaming,a genre I sink into
parks,emotional_integration,nature where I recenter and ease my mind
